"id","activity_id","user_id","read_at"
216,203,1,2026-01-14 17:06:30.821
217,204,1,2026-01-14 22:02:17.947
218,205,1,2026-01-14 22:10:43.755
219,206,1,2026-01-14 22:10:49.850
220,207,5,2026-01-14 23:02:23.755
221,208,5,2026-01-14 23:05:13.425
222,209,1,2026-01-14 23:06:47.106
223,210,1,2026-01-14 23:07:19.643
224,211,1,2026-01-14 23:07:46.580
225,212,1,2026-01-14 23:07:49.856
226,213,1,2026-01-14 23:08:31.860
227,214,1,2026-01-16 15:41:42.825
228,215,1,2026-01-16 15:41:42.994
229,216,1,2026-01-20 12:57:23.848
230,217,1,2026-01-20 12:58:10.340
231,218,1,2026-01-20 15:05:00.307
232,219,1,2026-01-20 15:07:25.243
233,220,1,2026-01-20 15:08:00.389
234,221,1,2026-01-21 15:09:53.839
235,222,1,2026-01-21 15:49:48.123
236,223,1,2026-01-21 15:57:00.541
237,224,1,2026-01-21 21:50:57.432
238,225,1,2026-01-21 21:51:08.551
239,208,1,2026-01-27 11:03:06.596
240,207,1,2026-01-27 11:03:17.566
241,226,1,2026-01-28 14:37:22.545
242,227,1,2026-01-28 14:38:14.953
